index,critic_score,user_score,rating,year
1398,76.0,7.8,E10+,2010.0
1402,93.0,9.2,E,2001.0
1423,64.0,,T,2008.0
1429,90.0,8.8,E,2001.0
1438,81.0,8.4,T,2003.0
1441,69.0,7.0,E10+,2006.0
1444,,4.3,E,2007.0
1461,84.0,8.9,T,2000.0
1462,,3.1,E,2014.0
1467,,9.4,T,2004.0
1469,,,E10+,2006.0
1470,89.0,8.9,T,2000.0
1472,72.0,9.1,E,2004.0
1473,76.0,8.3,E,2001.0
1475,80.0,6.5,M,2016.0
1486,94.0,8.8,T,2000.0
1487,,,E,2007.0
1488,67.0,7.2,E,2004.0
1492,92.0,8.6,T,2011.0
1494,76.0,8.2,T,2010.0
1495,,7.4,E,2002.0
1507,60.0,7.0,E,2003.0
1516,47.0,8.5,E,2002.0
1517,,7.2,M,2014.0
1520,77.0,9.2,E,2003.0
1521,83.0,8.7,M,2002.0
1522,,5.6,E,2008.0
1525,86.0,8.5,E,2005.0
1535,,8.4,E,2009.0
1540,50.0,7.2,T,2000.0
1541,,,E,2008.0
1542,51.0,7.6,T,2001.0
1560,65.0,,E,2008.0
1566,68.0,9.0,T,2004.0
1580,,6.0,E10+,2008.0
1586,,5.0,M,2014.0
1598,64.0,9.0,E,2007.0
1609,76.0,7.8,E10+,2011.0
1612,66.0,8.8,E10+,2007.0
1617,58.0,,E,2011.0
1625,,7.3,E,2003.0
1631,89.0,8.7,E,2003.0
1642,73.0,7.7,M,2006.0
1650,84.0,8.7,E,2002.0
1667,72.0,7.0,E,2004.0
1677,64.0,7.3,E,2014.0
1679,97.0,6.0,E,2000.0
1698,53.0,,E,2000.0
1699,84.0,8.0,M,2002.0
1700,,,E,2008.0
1703,79.0,8.1,E,2004.0
1706,94.0,9.4,M,1998.0
1707,59.0,,E,2009.0
1708,66.0,6.1,E,2012.0
1726,69.0,7.8,M,2015.0
1728,61.0,6.3,T,1998.0
1738,69.0,7.3,E,2000.0
1747,60.0,7.0,E,2003.0
1749,80.0,8.9,T,1999.0
1755,76.0,4.4,E,2005.0
1762,78.0,8.4,E,2008.0
1769,38.0,2.7,E,2008.0
1778,51.0,,E,2000.0
1789,93.0,9.2,E,2001.0
1793,75.0,8.7,E,2005.0
1796,87.0,8.0,M,2010.0
1797,70.0,6.4,E10+,2011.0
1800,83.0,9.1,E,2003.0
1803,80.0,,E,2009.0
1813,98.0,7.7,T,2000.0
1815,67.0,9.0,E,2006.0
1820,80.0,8.0,E,1996.0
1840,82.0,6.8,T,2007.0
1844,78.0,8.8,T,2002.0
1845,74.0,9.3,T,2000.0
1853,76.0,8.3,E,2001.0
1858,85.0,8.8,E,1998.0
1862,74.0,,E,2001.0
1863,76.0,,T,2008.0
1864,69.0,7.0,E10+,2006.0
1871,,,E,2007.0
1888,66.0,,E,2011.0
1893,,6.5,E,2002.0
1894,,,E,2008.0
1896,,,E,2002.0
1903,78.0,5.7,T,2013.0
1905,,3.4,E10+,2014.0
1906,68.0,,T,2000.0
1909,80.0,7.8,E,2002.0
1917,,,E,2008.0
1921,,7.8,T,2009.0
1922,74.0,8.1,E,2009.0
1923,85.0,7.1,T,2011.0
1929,60.0,,E,2009.0
1935,53.0,,E,2001.0
1949,57.0,,E,2000.0
1950,85.0,7.7,E,1999.0
1959,,6.8,E10+,2013.0
1969,44.0,,E,2007.0
1970,78.0,8.8,T,2002.0
1981,83.0,10.0,E,1999.0
1983,,7.4,E,2007.0
1986,78.0,8.7,T,2001.0
1988,42.0,,E,2000.0
1997,78.0,7.9,E,2010.0
2017,,,E,2009.0
2020,,,E,2010.0
2032,,,E,2007.0
2052,71.0,8.7,E,2007.0
2061,91.0,8.1,T,2000.0
2064,88.0,8.1,E,2000.0
2068,74.0,6.8,E,2008.0
2069,79.0,6.5,E,2007.0
2071,73.0,,E,2000.0
2072,81.0,8.8,E,2001.0
2079,79.0,8.9,T,2003.0
2093,71.0,,E,2008.0
2096,,,E,2008.0
2097,72.0,6.5,M,2015.0
2108,86.0,8.7,T,2002.0
2109,86.0,8.3,T,2013.0
2111,,7.2,E,2009.0
2114,,5.5,E,2015.0
2120,,,E,2006.0
2124,,7.6,E,2010.0
2141,90.0,8.8,E,2001.0
2142,93.0,9.2,E,2001.0
2157,,,E,2003.0
2163,,4.3,E10+,2014.0
2165,56.0,6.3,E10+,2009.0
2166,64.0,6.3,E,2012.0
2167,60.0,6.3,E,2007.0
2169,78.0,8.0,M,2011.0
2174,72.0,8.8,E,2003.0
2176,,2.8,E,2008.0
2178,77.0,7.8,E10+,2010.0
2179,,,E10+,2015.0
2180,,,E10+,2014.0
2183,,3.3,E,2015.0
2185,86.0,7.6,E,2003.0
2186,,7.8,E,2010.0
2191,87.0,7.5,T,2013.0
2193,74.0,8.5,T,2005.0
2202,76.0,8.1,E,2001.0
2206,80.0,8.9,E,2004.0
2212,56.0,,E,2006.0
2220,58.0,7.7,E,1999.0
2231,74.0,8.3,E,2011.0
2260,60.0,7.3,T,2003.0
2263,80.0,8.1,T,2009.0
2266,62.0,7.9,T,2002.0
2267,78.0,7.6,E,2009.0
2269,,,E,2010.0
2271,80.0,7.2,T,2013.0
2273,76.0,8.3,E10+,2011.0
2276,79.0,7.6,M,2008.0
2277,93.0,9.2,E,2001.0
2281,59.0,,E,2002.0
2284,33.0,,E,2007.0
2297,,7.0,M,2014.0
2300,69.0,7.3,E,2000.0
2302,60.0,6.7,T,2009.0
2304,98.0,7.7,T,2000.0
2309,89.0,7.0,E,2000.0
2315,,,E10+,2014.0
2319,,7.1,E10+,2012.0
2322,68.0,,E,2010.0
2330,76.0,,E,2008.0
2332,84.0,7.4,E,2016.0
2335,,6.7,E10+,2014.0
2339,67.0,8.5,E,2008.0
2343,49.0,6.2,M,2008.0
2344,76.0,8.1,E,2001.0
2345,81.0,8.3,T,2012.0
2347,69.0,7.0,E10+,2006.0
2351,80.0,7.0,T,2008.0
2360,,3.8,E10+,2015.0
2361,83.0,8.9,E,2012.0
2392,,,E,2003.0
2402,,7.1,E10+,2015.0
2403,65.0,,E,2002.0
2411,73.0,,T,2008.0
2415,58.0,5.7,E,2008.0
2421,89.0,7.0,E,2000.0
2426,71.0,,E,2010.0
2428,77.0,7.5,E,2007.0
2432,93.0,8.4,T,1999.0
2435,,7.4,E10+,2015.0
2439,,,E10+,2010.0
2443,62.0,8.8,E,2001.0
2453,61.0,7.4,M,2011.0
2459,,,E,2008.0
2460,68.0,,E,2003.0
2465,,7.6,M,2014.0
2472,,7.5,E10+,2007.0
2483,73.0,5.3,E,2002.0
2490,76.0,8.8,E,2000.0
2492,77.0,8.2,E,2002.0
2501,,8.3,M,2012.0
2510,93.0,9.2,E,2001.0
2512,,,T,2010.0
2513,53.0,,E,2007.0
2515,,4.3,E,2008.0
2518,,6.8,E,2002.0
2521,67.0,6.3,M,2014.0
2522,63.0,7.0,M,2011.0
2524,75.0,8.5,T,2000.0
2527,,,E,2008.0
2531,76.0,7.7,M,2012.0
2536,60.0,7.6,T,2008.0
2540,46.0,7.1,T,2000.0
2548,,7.2,E,2008.0
2550,,,T,2007.0
2554,50.0,5.3,E,2001.0
2565,49.0,5.0,E,2009.0
2573,,,E,2010.0
2574,72.0,8.0,T,2006.0
2589,,,E,2010.0
2595,70.0,,E10+,2007.0
2601,71.0,7.4,T,2012.0
2611,,4.8,E10+,2014.0
2617,71.0,,E,2002.0
2620,77.0,8.4,T,2008.0
2626,,3.1,E,2015.0
2627,79.0,7.8,E,1996.0
2636,55.0,6.1,E,2013.0
2638,71.0,,E,2000.0
2652,66.0,,E10+,2011.0
2658,,,E,2009.0
2659,92.0,9.2,M,2001.0
2663,70.0,8.4,T,2003.0
2671,69.0,7.7,E,2009.0
2673,,9.0,T,2003.0
2675,76.0,,E,2010.0
2676,79.0,6.9,E10+,2008.0
2677,70.0,5.9,E,2011.0
2678,,,E,2008.0
2680,84.0,9.0,T,2005.0
2681,94.0,8.8,M,2012.0
2682,32.0,3.3,M,2003.0
2683,93.0,8.4,T,1999.0
2690,84.0,9.1,E,2001.0
2692,77.0,8.1,E,2004.0
2693,62.0,8.7,E,2006.0
2694,,8.1,M,2016.0
2696,,6.6,E,2010.0
2701,76.0,8.4,E10+,2010.0
2702,76.0,8.6,T,2002.0
2706,55.0,8.3,T,2001.0
2707,60.0,7.8,M,2005.0
2708,68.0,6.1,T,2010.0
2709,65.0,3.2,M,2007.0
2710,76.0,7.6,E,2016.0
2715,63.0,7.8,E,2006.0
2717,78.0,7.1,E,2016.0
2729,86.0,9.0,E,2000.0
2732,64.0,3.6,M,2007.0
2733,,,T,2009.0
2737,,,T,2013.0
2742,86.0,6.6,T,2014.0
2746,,,M,2002.0
2751,84.0,8.5,E,2016.0
2752,67.0,8.2,E,2003.0
2757,65.0,6.0,E,2008.0
2759,84.0,8.0,T,2015.0
2764,77.0,8.2,T,2003.0
2766,77.0,7.7,T,2015.0
2768,82.0,6.6,M,2016.0
2773,88.0,9.0,E,2005.0
2774,,6.8,E10+,2014.0
2780,,4.6,E,2015.0
2782,,3.3,E,2016.0
2789,69.0,7.3,T,2012.0
2791,92.0,8.5,M,2012.0
2795,84.0,8.1,E10+,2010.0
2797,93.0,9.2,E,2001.0
2802,71.0,6.8,E,2007.0
2809,49.0,8.0,E10+,2009.0
2814,,,E,2003.0
2823,,,E,2008.0
2824,83.0,8.3,E10+,2012.0
2826,70.0,,E,2009.0
2835,,,E,2008.0
2838,58.0,,E,2002.0
2843,,,M,2001.0
2848,80.0,6.1,E10+,2015.0
2849,75.0,5.4,E,2010.0
2857,60.0,3.5,T,2009.0
2858,84.0,8.9,M,2001.0
2864,,,E,2009.0
2871,66.0,,E,2003.0
2873,43.0,,E,2000.0
2874,78.0,8.3,M,2005.0
2876,44.0,7.0,E,2003.0
2878,46.0,,E,2004.0
2881,90.0,8.6,E,1997.0
2883,89.0,8.9,T,2000.0
2886,76.0,8.4,E,2004.0
2888,69.0,6.3,T,1995.0
2891,,,E,2000.0
2908,90.0,,E,2004.0
2909,67.0,,E,2001.0
2914,63.0,,E,2010.0
2916,68.0,2.1,M,2013.0
2921,69.0,,E,2000.0
2933,71.0,,E,2005.0
2936,,4.8,E10+,2015.0
2940,82.0,8.1,T,2013.0
2944,,3.8,E10+,2015.0
2945,,1.6,E,2012.0
2946,,4.6,E10+,2014.0
2954,65.0,7.8,T,2015.0
2585,,5.2,E,2008.0
2674,96.0,8.9,E,1998.0
2689,75.0,7.3,E10+,2010.0
2960,75.0,8.3,M,2009.0
2963,,8.0,E10+,2012.0
2965,56.0,6.5,E10+,2007.0
2971,,,E,2009.0
2973,77.0,10.0,E10+,2016.0
2983,86.0,9.1,T,2005.0
2984,83.0,7.8,T,1997.0
2989,74.0,8.6,E,2006.0
2994,74.0,7.7,M,2004.0
2999,40.0,,E,2000.0
3002,85.0,8.6,T,2004.0
3003,72.0,6.2,E10+,2012.0
3010,66.0,6.2,E,2012.0
3016,46.0,4.6,E,2008.0
3017,81.0,6.3,E10+,2011.0
3018,60.0,,E,2003.0
3024,66.0,6.8,E,2005.0
3025,63.0,6.8,E,2010.0
3026,82.0,6.8,T,2008.0
3028,69.0,,E,2000.0
3034,,7.0,E10+,2014.0
3038,,,E10+,2011.0
3040,75.0,7.7,T,2006.0
3041,,6.5,T,2010.0
3042,65.0,,E,2000.0
3045,86.0,7.8,M,2014.0
3046,63.0,9.0,E,2003.0
3048,,,E,2011.0
3050,70.0,,E10+,2005.0
3052,,,E10+,2010.0
3055,,,E,2010.0
3056,,,T,2008.0
3060,74.0,9.3,T,2000.0
3063,,7.6,M,2014.0
3076,,7.6,E10+,2014.0
3077,77.0,,E,2004.0
3079,92.0,7.6,,1997.0
3081,69.0,8.5,E10+,2011.0
3087,89.0,8.0,T,2013.0
3088,,8.0,E,2010.0
3089,76.0,8.4,E10+,2013.0
3092,,,E,2010.0
3099,52.0,,E,2004.0
3101,66.0,,T,2000.0
3110,73.0,7.5,E10+,2007.0
3115,76.0,,T,2007.0
3118,73.0,6.1,E10+,2014.0
3124,,9.0,E,2010.0
3126,81.0,7.8,M,2015.0
3128,,8.5,E10+,2009.0
3136,,7.2,M,2015.0
3140,,8.0,E,2007.0
